time,size
0.005580472946166992,50
0.008726549148559571,50
0.009187698364257812,50
0.010601282119750977,50
0.012614202499389649,50
0.011555194854736328,50
0.006492757797241211,50
0.009674978256225587,50
0.009610939025878906,50
0.007742881774902344,50
0.02575221061706543,75
0.017905807495117186,75
0.021231842041015626,75
0.019596004486083986,75
0.02657632827758789,75
0.019367742538452148,75
0.026542472839355468,75
0.014849328994750976,75
0.017072248458862304,75
0.028195524215698244,75
0.034444332122802734,100
0.019285964965820312,100
0.027567672729492187,100
0.01856675148010254,100
0.03516125679016113,100
0.045499420166015624,100
0.05348987579345703,100
0.03758711814880371,100
0.030527734756469728,100
0.032217979431152344,100
0.05265207290649414,125
0.04129953384399414,125
0.07943592071533204,125
0.05777163505554199,125
0.056365966796875,125
0.031093025207519533,125
0.043081474304199216,125
0.046086788177490234,125
0.05102548599243164,125
0.04086570739746094,125
0.05563607215881348,150
0.05817327499389648,150
0.0694662094116211,150
0.0980222225189209,150
0.08114795684814453,150
0.06620025634765625,150
0.06030607223510742,150
0.06319403648376465,150
0.07340416908264161,150
0.08969035148620605,150
0.12531523704528807,175
0.055732202529907224,175
0.09175915718078613,175
0.07117834091186523,175
0.06665339469909667,175
0.0846822738647461,175
0.07263898849487305,175
0.0759697437286377,175
0.07376518249511718,175
0.059129953384399414,175
0.2020350456237793,200
0.09346237182617187,200
0.09864287376403809,200
0.1126176357269287,200
0.09507865905761718,200
0.1458820343017578,200
0.09630265235900878,200
0.13098697662353515,200
0.06689929962158203,200
0.153137731552124,200
0.14039030075073242,225
0.12566676139831542,225
0.08544464111328125,225
0.15644426345825196,225
0.17053117752075195,225
0.11348724365234375,225
0.16853442192077636,225
0.16630754470825196,225
0.17493953704833984,225
0.14380993843078613,225
0.16884245872497558,250
0.19760551452636718,250
0.1664093017578125,250
0.17262277603149415,250
0.18117613792419435,250
0.19874582290649415,250
0.18787002563476562,250
0.21263375282287597,250
0.18612360954284668,250
0.21673803329467772,250
0.15118260383605958,275
0.17680735588073732,275
0.18900017738342284,275
0.22428088188171386,275
0.16538081169128419,275
0.2085669994354248,275
0.3216119289398193,275
0.2050497055053711,275
0.2114704132080078,275
0.2331932544708252,275
0.27275400161743163,300
0.19680824279785156,300
0.2920769214630127,300
0.18224425315856935,300
0.26827011108398435,300
0.1947504997253418,300
0.3118443965911865,300
0.21791138648986816,300
0.24469141960144042,300
0.16853184700012208,300
0.2057962417602539,325
0.2780013084411621,325
0.2531454086303711,325
0.3590129852294922,325
0.24722027778625488,325
0.3677406311035156,325
0.2992683410644531,325
0.2836456775665283,325
0.280690860748291,325
0.37095141410827637,325
0.35430908203125,350
0.4048625946044922,350
0.3925779819488525,350
0.44217214584350584,350
0.35393500328063965,350
0.30480155944824217,350
0.3896307468414307,350
0.3481234073638916,350
0.5548661708831787,350
0.521832275390625,350
0.3641003131866455,375
0.42485828399658204,375
0.4878732204437256,375
0.3239598274230957,375
0.39004106521606446,375
0.36341023445129395,375
0.4627492427825928,375
0.3554487705230713,375
0.311372709274292,375
0.3614667415618896,375
0.5736343860626221,400
0.32745046615600587,400
0.5894106864929199,400
0.6953434467315673,400
0.38007550239562987,400
0.5503448486328125,400
0.4128272533416748,400
0.5415329933166504,400
0.47740612030029295,400
0.5869235515594482,400
0.48502154350280763,425
0.3817019462585449,425
0.5281212806701661,425
0.5787182331085206,425
0.4554146766662598,425
0.5696144580841065,425
0.5326360702514649,425
0.5417795658111573,425
0.6992134571075439,425
0.686428451538086,425
0.5780196189880371,450
0.6040768623352051,450
0.602925443649292,450
0.4725747585296631,450
0.5735695362091064,450
0.5315162658691406,450
0.5474703311920166,450
0.5672911643981934,450
0.6292475700378418,450
0.6081209182739258,450
0.7037678241729737,475
0.5156310558319092,475
0.7382084846496582,475
0.5851498603820801,475
0.8399921894073487,475
0.6315885066986084,475
0.6326432228088379,475
0.9472912788391114,475
0.7733606338500977,475
0.5739311218261719,475
0.8485282897949219,500
0.8186263561248779,500
0.7896517276763916,500
0.6501965999603272,500
0.761858320236206,500
0.8312273979187011,500
0.902871561050415,500
0.9928110599517822,500
0.6635640621185303,500
0.5842606067657471,500
